/data/guichoux/TED/ted_dataset/lmdb_train_speaker_model.pkl
Pose dim: 27
[VAL] joint mae: 0.02467, accel diff: 0.00363, FGD: 6.146, diversity_score: 98.625, BC: 0.745, BC 0.07: 0.716, Symetric_BC: 1.541, feat_D: 56.303 / 167.6s
[VAL] joint mae: 0.02436, accel diff: 0.00352, FGD: 7.316, diversity_score: 97.580, BC: 0.741, BC 0.07: 0.709, Symetric_BC: 1.537, feat_D: 55.476 / 169.4s
[VAL] joint mae: 0.02450, accel diff: 0.00350, FGD: 7.845, diversity_score: 96.970, BC: 0.748, BC 0.07: 0.717, Symetric_BC: 1.544, feat_D: 55.886 / 171.3s
[VAL] joint mae: 0.02462, accel diff: 0.00357, FGD: 7.515, diversity_score: 95.217, BC: 0.749, BC 0.07: 0.720, Symetric_BC: 1.546, feat_D: 55.760 / 174.4s
[VAL] joint mae: 0.02467, accel diff: 0.00359, FGD: 6.925, diversity_score: 97.201, BC: 0.746, BC 0.07: 0.722, Symetric_BC: 1.542, feat_D: 56.174 / 168.4s
[VAL] joint mae: 0.02492, accel diff: 0.00367, FGD: 5.872, diversity_score: 97.867, BC: 0.743, BC 0.07: 0.717, Symetric_BC: 1.539, feat_D: 56.871 / 170.3s
[VAL] joint mae: 0.02514, accel diff: 0.00370, FGD: 5.523, diversity_score: 95.908, BC: 0.743, BC 0.07: 0.719, Symetric_BC: 1.540, feat_D: 57.224 / 168.0s
[VAL] joint mae: 0.02478, accel diff: 0.00355, FGD: 7.485, diversity_score: 96.858, BC: 0.735, BC 0.07: 0.704, Symetric_BC: 1.531, feat_D: 56.362 / 168.6s
[VAL] joint mae: 0.02476, accel diff: 0.00355, FGD: 6.590, diversity_score: 98.361, BC: 0.739, BC 0.07: 0.711, Symetric_BC: 1.534, feat_D: 56.353 / 170.4s
[VAL] joint mae: 0.02488, accel diff: 0.00367, FGD: 7.298, diversity_score: 97.084, BC: 0.746, BC 0.07: 0.719, Symetric_BC: 1.542, feat_D: 56.496 / 170.9s
[VAL] joint mae: 0.02493, accel diff: 0.00368, FGD: 5.863, diversity_score: 96.074, BC: 0.740, BC 0.07: 0.711, Symetric_BC: 1.535, feat_D: 56.394 / 170.0s
[VAL] joint mae: 0.02504, accel diff: 0.00358, FGD: 5.848, diversity_score: 97.185, BC: 0.741, BC 0.07: 0.714, Symetric_BC: 1.536, feat_D: 56.712 / 170.9s
[VAL] joint mae: 0.02488, accel diff: 0.00361, FGD: 7.472, diversity_score: 97.710, BC: 0.740, BC 0.07: 0.710, Symetric_BC: 1.536, feat_D: 56.190 / 169.5s
[VAL] joint mae: 0.02526, accel diff: 0.00368, FGD: 5.297, diversity_score: 96.895, BC: 0.741, BC 0.07: 0.714, Symetric_BC: 1.537, feat_D: 57.465 / 167.5s
[VAL] joint mae: 0.02526, accel diff: 0.00351, FGD: 5.501, diversity_score: 99.193, BC: 0.741, BC 0.07: 0.712, Symetric_BC: 1.537, feat_D: 57.191 / 166.8s
[VAL] joint mae: 0.02516, accel diff: 0.00368, FGD: 5.990, diversity_score: 97.195, BC: 0.745, BC 0.07: 0.719, Symetric_BC: 1.541, feat_D: 56.880 / 167.9s
[VAL] joint mae: 0.02566, accel diff: 0.00369, FGD: 5.391, diversity_score: 95.351, BC: 0.744, BC 0.07: 0.718, Symetric_BC: 1.539, feat_D: 58.017 / 168.7s
[VAL] joint mae: 0.02535, accel diff: 0.00355, FGD: 5.927, diversity_score: 98.827, BC: 0.744, BC 0.07: 0.717, Symetric_BC: 1.540, feat_D: 57.151 / 167.5s
