/data/guichoux/TED/ted_dataset/lmdb_train_speaker_model.pkl
Pose dim: 18
[VAL] joint mae: 0.02468, accel diff: 0.00338, FGD: 8.496, diversity_score: 95.060, BC: 0.724, BC 0.07: 0.714, Symetric_BC: 1.520, feat_D: 63.889 / 158.6s
[VAL] joint mae: 0.02408, accel diff: 0.00343, FGD: 10.106, diversity_score: 99.312, BC: 0.726, BC 0.07: 0.716, Symetric_BC: 1.521, feat_D: 62.672 / 162.6s
[VAL] joint mae: 0.02436, accel diff: 0.00352, FGD: 8.861, diversity_score: 94.596, BC: 0.724, BC 0.07: 0.714, Symetric_BC: 1.518, feat_D: 63.265 / 162.8s
[VAL] joint mae: 0.02426, accel diff: 0.00339, FGD: 9.071, diversity_score: 97.286, BC: 0.723, BC 0.07: 0.712, Symetric_BC: 1.519, feat_D: 62.818 / 163.1s
[VAL] joint mae: 0.02437, accel diff: 0.00341, FGD: 9.961, diversity_score: 98.387, BC: 0.724, BC 0.07: 0.714, Symetric_BC: 1.518, feat_D: 62.930 / 159.6s
[VAL] joint mae: 0.02399, accel diff: 0.00340, FGD: 9.792, diversity_score: 94.243, BC: 0.722, BC 0.07: 0.710, Symetric_BC: 1.517, feat_D: 62.514 / 161.3s
[VAL] joint mae: 0.02444, accel diff: 0.00363, FGD: 9.421, diversity_score: 96.409, BC: 0.717, BC 0.07: 0.706, Symetric_BC: 1.512, feat_D: 63.352 / 161.9s
[VAL] joint mae: 0.02391, accel diff: 0.00336, FGD: 10.378, diversity_score: 99.261, BC: 0.719, BC 0.07: 0.707, Symetric_BC: 1.515, feat_D: 62.439 / 162.3s
[VAL] joint mae: 0.02424, accel diff: 0.00358, FGD: 8.864, diversity_score: 94.870, BC: 0.726, BC 0.07: 0.718, Symetric_BC: 1.521, feat_D: 63.157 / 161.7s
[VAL] joint mae: 0.02432, accel diff: 0.00354, FGD: 8.390, diversity_score: 98.096, BC: 0.717, BC 0.07: 0.707, Symetric_BC: 1.512, feat_D: 63.503 / 161.4s
[VAL] joint mae: 0.02397, accel diff: 0.00344, FGD: 11.725, diversity_score: 94.746, BC: 0.722, BC 0.07: 0.709, Symetric_BC: 1.517, feat_D: 62.048 / 158.0s
